"Yes","Ja"
"No","Nein"
"VerifiedReviews","Echte Bewertungen"
"Product Reviews","Produktbewertungen"
"Number of reviews","Anzahl der Bewertungen"
"Average rating","Durchschnittsnote"
"View the trust certificate","Vertrauenszertifikat anzeigen"
"More Reviews...","Weitere Kommentare..."
"No reviews for this product.","Keine Bewertungen für dieses Produkt."
"the","am"
"d/m/Y","d/m/Y"
"Comments of","Kommentar von"
"on","zu"
"review(s)","bewertung(en)"
"review","bewertung"
"Review","Bewertung"
"reviews","bewertungen"
"Reviews","Bewertungen"
"See the review(s)","Bewertungen ansehen"
"Based on","Basierend auf"
"customer(s) reviews","kundenbewertungen"
"Anonymous A.","Anonymer Kunde"
"Anonymous a.","Anonymer Kunde"
"anonymous a.","Anonymer Kunde"
"anonymous A.","Anonymer Kunde"
"anonymous  .","Anonymer Kunde"
"anonymous ","Anonymer Kunde"
"anonymous ","Anonymer Kunde"
"anonymous","Anonymer Kunde"
"Anonymous  .","Anonymer Kunde"
"Anonymous ","Anonymer Kunde"
"Anonymous ","Anonymer Kunde"
"Anonymous","Anonymer Kunde"
"Verified Reviews","Echte Bewertungen"
"Export reviews (CSV file)","Exportberichte (CSV-Datei)"
"Installation Status","Installationsstatus"
"Configuration","Konfiguration"
"General Configuration","Allgemeine Konfiguration"
"IMPORTANT: BEFORE ALL PLEASE SELECT THE STORE OR WEBSITE TO CONFIGURE IN THE TOP-LEFT MENU. You can configure the module for all websites, for a specific website or for a specific store view.","WICHTIG: VOR ALLE BITTE WÄHLEN SIE DEN SPEICHERN ODER WEBSITE, UM IN DER TOP-LINKEN MENÜ ZU KONFIGURIEREN. Sie können das Modul für alle Webseiten, für eine bestimmte Website oder für eine bestimmte Speicheransicht konfigurieren."
"Enable Module in this view","Modul in dieser Ansicht aktivieren"
"By activating the module, you will reap your website and product reviews. Go to the advanced configuration if you want to change the product reviews configuration.","Durch die Aktivierung des Moduls erobern Sie Ihre Website und Produktbewertungen. Gehen Sie zur erweiterten Konfiguration, wenn Sie die Produktbewertungen ändern möchten."
"Secret Key","Geheimer Schlüssel"
"Website ID","Website ID"
"Advanced Configuration","Erweiterte Konfiguration"
"Add reviews to product page","Bewertungen zur Produktseite hinzufügen"
"This configuration is used to add the product reviews block in the product page.","Diese Konfiguration wird verwendet, um den Produktbelegungsblock auf der Produktseite hinzuzufügen."
"jQuery present on the site?","jQuery auf der Website?"
"Change this to yes, if jQuery is already used on the site.","Ändern Sie dies zu ja, wenn jQuery bereits auf der Website verwendet wird."
"Activate the Rich-Snippets in the product page","Aktiviere die Rich-Snippets auf der Produktseite"
"Use the URL of the Parent product","Verwenden Sie die URL des Übergeordneten produkts"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","ACHTUNG! OPTION NUR FÜR ÜBERPRÜFUNG-ÜBERPRÜFUNG TEAM. Ändern Sie es nur, wenn unser Team Sie kontaktieren."
"Use the SKU and PLA-GoogleShopping data of the Parent product.","Verwenden Sie die SKU- und PLA-GoogleShopping-Daten des übergeordneten Produkts."
"Google Shopping - Product Data (PLA)","Google Shopping - Produktdaten (PLA)"
"Fields Mapping","Feldmapping"
"IMPORTANT: Before all please select THE WEBSITE WHERE YOU ALREADY CONFIGURED THE MODULE, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","WICHTIG: Vor allen bitte wählen Sie die WEBSITE, WO SIE DAS MODUL BEREITS KONFIGURIEREN, sonst wird Google Shopping Ihre Produktdaten nicht erkennen. Dann NUR DIE FELDER UNHÄNGEN, dass Sie sicherstellen, dass Sie zusätzliche Produktdaten für Google Shopping erhalten."
"Google Shopping PLA can only be configured in WEBSITES, please select in the top-left menu the website that you want to configure.","Google Shopping PLA kann nur in WEBSITES konfiguriert werden, bitte wählen Sie im oberen linken Menü die Website, die Sie konfigurieren möchten."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! ID ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! SKU ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Short description (product name)","Kurzbeschreibung (Produktname)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! KURZE BESCHREIBUNG ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Link","Product link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT LINK ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Image link","Product image link"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT IMAGE LINK ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Brand","Marke"
"Category","Kategorie"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Zusätzliche Informationen 1"
"Extra Info 2","Zusätzliche Informationen 2"
"Extra Info 3","Zusätzliche Informationen 3"
"Extra Info 4","Zusätzliche Informationen 4"
"Extra Info 5","Zusätzliche Informationen 5"
"Extra Info 6","Zusätzliche Informationen 6"
"Extra Info 7","Zusätzliche Informationen 7"
"Extra Info 8","Zusätzliche Informationen 8"
"Extra Info 9","Zusätzliche Informationen 9"
"Extra Info 10","Zusätzliche Informationen 10"
"No rich-snippets","Keine rich-snippets"
"Rich-snippets using schema.org format","Rich-Snippets mit schema.org format"
"Store views","Store views"
"Store views title","Store views titel"
"Before all please select the store to export orders.","Bevor alle bitte wählen Sie den Laden, um Aufträge zu exportieren."
"Order status","Bestellstatus"
"Keep all the options unchecked to get orders from all status.","Halten Sie alle Optionen unkontrolliert, um Aufträge aus allen Status zu bekommen."
"From","Von"
"Leave it empty to get orders from the beginning of time.","Lassen Sie es leer, um Aufträge vom Anfang der Zeit zu bekommen."
"To","Bis"
"Leave it empty to use the current date.","Lassen Sie es leer, um das aktuelle Datum zu verwenden."
"Request product reviews?","Produktbewertungen anfordern"
"It add product information to orders.","Es fügt Produktinformationen zu Aufträgen hinzu."
"Export File","Datei exportieren"